dir,technician
d20222_A1_Cal__20200818T13_18_44Measurement_2_e6,callan
d20222_A2_Cal__20200817T15_22_26Measurement_1_e6,callan
d20222_B1_Cal__20200825T12_23_59Measurement_3_e6,callan
d20222_B2_rerun__20200829T11_01_59Measurement_4_e9,callan
d20223_A1_Cal__20200817T17_03_14Measurement_2_e7,callan
d20223_A2_Cal__20200818T14_54_58Measurement_1_e6,callan
d20223_B1_Cal__20200827T10_48_20Measurement_1_e7,callan
d20223_B2_Cal__20200817T11_02_00Measurement_1_e9,callan
dC20236_A1__20200828T09_53_44Measurement_4_e6,callan
dC20236_A2__20200828T11_33_31Measurement_2_e6,callan
dC20236_B1__20200828T13_12_27Measurement_1_e7,callan
dC20236_B2__20200828T14_45_19Measurement_1_e8,callan
dC20244_A1__20200918T11_06_17Measurement_1_e9,callan
dC20244_A2__20200914T11_13_52Measurement_1_e6,callan
dC20244_B1__20200914T09_49_07Measurement_2_e6,callan
dC20244_B2__20200918T09_22_05Measurement_1_e6,callan
dC20255_A1__20200925T16_02_20Measurement_1_e6,callan
dC20255_A2__20200918T12_40_46Measurement_1_e6,callan
dC20255_B1__20200925T14_41_51Measurement_5_e6,callan
dC20255_B2__20200926T13_00_37Measurement_2_e6,callan
dC20264_A1__20200929T11_41_03Measurement_2_e7,callan
dC20264_A2__20200928T11_04_39Measurement_1_e5,callan
dC20264_B1__20200928T12_28_55Measurement_1_e5,callan
dC20264_B2__20200928T13_55_11Measurement_1_e6,callan
dC20265_A1__20201001T15_09_37Measurement_2_e5,callan
dC20265_A2__20201001T11_37_02Measurement_1_e7,callan
dC20265_B1__20201001T13_31_45Measurement_3_e5,callan
dC20265_B2__20201001T17_13_09Measurement_1_e5,callan
dC20269_A1__20201011T17_09_53Measurement_1_e7,callan
dC20269_A2__20201011T13_28_26Measurement_1_e8,callan
dC20269_B1__20201011T15_13_21Measurement_1_e7,callan
dC20269_B2__20201011T18_33_32Measurement_1_e8,callan
dC20279_A1__20201014T13_18_01Measurement_1_e7,callan
dC20279_A2__20201014T10_50_59Measurement_1_e9,callan
dC20279_B1__20201014T14_43_53Measurement_1_e7,callan
dC20279_B2__20201014T16_08_36Measurement_1_e7,callan
dC20281_A1__20201015T14_03_58Measurement_1_e7,callan
dC20281_A2__20201015T17_33_32Measurement_1_e6,callan
dC20281_B1__20201015T16_04_07Measurement_1_e5,callan
dC20281_B2__20201015T12_28_23Measurement_1_e7,callan
dC20286_A1__20201019T14_04_13Measurement_1_e5,callan
dC20286_A2__20201019T11_10_00Measurement_1_e5,callan
dC20286_B1__20201019T16_25_12Measurement_1_e5,callan
dC20286_B2__20201019T12_38_27Measurement_1_e5,callan
dC20288_A1__20201026T10_43_48Measurement_1_e6,callan
dC20288_A2__20201026T15_30_01Measurement_1_e2,callan
dC20288_B1__20201026T12_27_19Measurement_1_e8,callan
dC20288_B2__20201026T13_53_31Measurement_1_e7,callan
dC20303_A1__20201105T12_00_03Measurement_1_e4,callan
dC20303_A2__20201105T15_19_33Measurement_1_e4,callan
dC20303_B1__20201105T13_52_27Measurement_1_e4,callan
dC20303_B2__20201108T12_15_58Measurement_1_e4,callan
dC20307_A1__20201108T15_38_05Measurement_1_e2,callan
dC20307_A2__20201109T11_38_17Measurement_1_e2,callan
dC20307_B1__20201108T13_47_52Measurement_1_e2,callan
dC20307_B2__20201109T09_52_37Measurement_1_e2,callan
dC20308_A1__20201109T16_35_15Measurement_1_e2,callan
dC20308_A2__20201115T11_28_12Measurement_1_e2,callan
dC20308_B1__20201109T13_10_24Measurement_1_e2,callan
dC20308_B2__20201109T14_46_16Measurement_1_e2,callan
dW20268_A1__20201009T16_31_23Measurement_1_e6,whitney
dW20268_A2__20201010T08_27_15Measurement_1_e5,whitney
dW20268_B1__20201010T11_59_40Measurement_1_e5,whitney
dW20268_B2__20201010T14_39_11Measurement_1_e5,whitney
dW20280_A1__20201013T12_02_22Measurement_1_e5,whitney
dW20280_A2__20201012T09_20_51Measurement_1_e5,whitney
dW20280_B1__20201013T13_52_00Measurement_1_e5,whitney
dW20280_B2__20201013T15_16_22Measurement_1_e6,whitney
dW20289_A1__20201020T14_00_16Measurement_1_e7,whitney
dW20289_A2__20201020T11_00_34Measurement_1_e7,whitney
dW20289_B1__20201020T09_34_58Measurement_1_e7,whitney
dW20289_B2__20201020T12_24_22Measurement_1_e5,whitney
dW20292_A1__20201022T13_01_19Measurement_1_e5,whitney
dW20292_A2__20201022T14_52_25Measurement_1_e5,whitney
dW20292_B1__20201022T16_17_59Measurement_1_e7,whitney
dW20292_B2__20201030T10_05_16Measurement_1_e6,whitney
dW20295_A1__20201030T11_39_38Measurement_1_e4,whitney
dW20295_A2__20201030T13_03_31Measurement_1_e4,whitney
dW20295_B1__20201030T14_29_49Measurement_1_e8,whitney
dW20295_B2__20201030T16_07_30Measurement_1_e6,whitney